Dog Breed,ID Code,Breed Group,Temperament,Weight,Height,Bred For,Life Span,Origin,Reference Image ID,min_weight,max_weight,min_height,max_height,min_lifespan,max_lifespan
American Water Spaniel,17,Sporting,"Friendly, Energetic, Obedient, Intelligent, Protective, Trainable",25 - 45,15 - 18,Bird flushing and retrieving,10 - 12 ,none,SkmRJl9VQ,25 ,45.0,15 ,18.0,10 ,12.0
Anatolian Shepherd Dog,18,Working,"Steady, Bold, Independent, Confident, Intelligent, Proud",80 - 150,27 - 29,Livestock herding,11 - 13 ,none,BJT0Jx5Nm,80 ,150.0,27 ,29.0,11 ,13.0
Appenzeller Sennenhund,19,none,"Reliable, Fearless, Energetic, Lively, Self-assured",48 - 55,20 - 22,"Herding livestock, pulling carts, and guarding the farm",12 – 14 ,none,HkNkxlqEX,48 ,55.0,20 ,22.0,12 – 14 ,
Australian Cattle Dog,21,Herding,"Cautious, Energetic, Loyal, Obedient, Protective, Brave",44 - 62,17 - 20,"Cattle herding, herding trials",12 - 14 ,none,IBkYVm4v1,44 ,62.0,17 ,20.0,12 ,14.0
Australian Kelpie,22,Herding,"Friendly, Energetic, Alert, Loyal, Intelligent, Eager",31 - 46,17 - 20,"Farm dog, Cattle herding",10 - 13 ,none,Hyq1ge9VQ,31 ,46.0,17 ,20.0,10 ,13.0
Australian Shepherd,23,Herding,"Good-natured, Affectionate, Intelligent, Active, Protective",35 - 65,18 - 23,Sheep herding,12 - 16 ,none,B1-llgq4m,35 ,65.0,18 ,23.0,12 ,16.0
Australian Terrier,24,Terrier,"Spirited, Alert, Loyal, Companionable, Even Tempered, Courageous",14 - 16,10 - 11,"Cattle herdering, hunting snakes and rodents",15 ,none,r1Ylge5Vm,14 ,16.0,10 ,11.0,15 ,
Azawakh,25,Hound,"Aloof, Affectionate, Attentive, Rugged, Fierce, Refined",33 - 55,23 - 29,"Livestock guardian, hunting",10 - 13 ,none,SkvZgx94m,33 ,55.0,23 ,29.0,10 ,13.0
Barbet,26,none,"Obedient, Companionable, Intelligent, Joyful",40 - 65,20 - 26,Hunting water game,13 – 15 ,none,HyWGexcVQ,40 ,65.0,20 ,26.0,13 – 15 ,
Basenji,28,Hound,"Affectionate, Energetic, Alert, Curious, Playful, Intelligent",22 - 24,16 - 17,Hunting,10 - 12 ,none,H1dGlxqNQ,22 ,24.0,16 ,17.0,10 ,12.0
Basset Bleu de Gascogne,29,Hound,"Affectionate, Lively, Agile, Curious, Happy, Active",35 - 40,13 - 15,Hunting on foot.,10 - 14 ,none,BkMQll94X,35 ,40.0,13 ,15.0,10 ,14.0
Basset Hound,30,Hound,"Tenacious, Friendly, Affectionate, Devoted, Sweet-Tempered, Gentle",50 - 65,14,Hunting by scent,12 - 15 ,none,Sy57xx9EX,50 ,65.0,14,,12 ,15.0
Beagle,31,Hound,"Amiable, Even Tempered, Excitable, Determined, Gentle, Intelligent",20 - 35,13 - 15,"Rabbit, hare hunting",13 - 16 ,none,Syd4xxqEm,20 ,35.0,13 ,15.0,13 ,16.0
Bearded Collie,32,Herding,"Self-confidence, Hardy, Lively, Alert, Intelligent, Active",45 - 55,20 - 22,Sheep herding,12 - 14 ,none,A09F4c1qP,45 ,55.0,20 ,22.0,12 ,14.0
Beauceron,33,Herding,"Fearless, Friendly, Intelligent, Protective, Calm",80 - 110,24 - 27.5,"Boar herding, hunting, guarding",10 - 12 ,none,HJQ8ge5V7,80 ,110.0,24 ,27.5,10 ,12.0
Bedlington Terrier,34,Terrier,"Affectionate, Spirited, Intelligent, Good-tempered",17 - 23,15 - 16,"Killing rat, badger, other vermin",14 - 16 ,none,ByK8gx947,17 ,23.0,15 ,16.0,14 ,16.0
Belgian Malinois,36,Herding,"Watchful, Alert, Stubborn, Friendly, Confident, Hard-working, Active, Protective",40 - 80,22 - 26,Stock herding,12 - 14 ,none,r1f_ll5VX,40 ,80.0,22 ,26.0,12 ,14.0
Belgian Tervuren,38,Herding,"Energetic, Alert, Loyal, Intelligent, Attentive, Protective",40 - 65,22 - 26,"Guarding, Drafting, Police work.",10 - 12 ,none,B1KdxlcNX,40 ,65.0,22 ,26.0,10 ,12.0
Bernese Mountain Dog,41,Working,"Affectionate, Loyal, Intelligent, Faithful",65 - 120,23 - 27.5,Draft work,7 - 10 ,none,S1fFlx5Em,65 ,120.0,23 ,27.5,7 ,10.0
Bichon Frise,42,Non-Sporting,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",10 - 18,9.5 - 11.5,Companion,15 ,none,HkuYlxqEQ,10 ,18.0,9.5 ,11.5,15 ,
Black and Tan Coonhound,43,Hound,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",65 - 100,23 - 27,"Hunting raccoons, night hunting",10 - 12 ,none,HJAFgxcNQ,65 ,100.0,23 ,27.0,10 ,12.0
Bloodhound,45,Hound,"Stubborn, Affectionate, Gentle, Even Tempered",80 - 110,23 - 27,Trailing,8 - 10 ,none,Skdcgx9VX,80 ,110.0,23 ,27.0,8 ,10.0
Bluetick Coonhound,47,Hound,"Friendly, Intelligent, Active",45 - 80,21 - 27,Hunting with a superior sense of smell.,12 - 14 ,none,rJxieg9VQ,45 ,80.0,21 ,27.0,12 ,14.0
Boerboel,48,Working,"Obedient, Confident, Intelligent, Dominant, Territorial",110 - 200,22 - 27,"Guarding the homestead, farm work.",10 - 12 ,none,HyOjge5Vm,110 ,200.0,22 ,27.0,10 ,12.0
Border Collie,50,Herding,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",30 - 45,18 - 22,Sheep herder,12 - 16 ,none,sGQvQUpsp,30 ,45.0,18 ,22.0,12 ,16.0
Border Terrier,51,Terrier,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",11.5 - 15.5,11 - 16,"Fox bolting, ratting",12 - 14 ,none,HJOpge9Em,11.5 ,15.5,11 ,16.0,12 ,14.0
Boston Terrier,53,Non-Sporting,"Friendly, Lively, Intelligent",10 - 25,16 - 17,"Ratting, Companionship",11 - 13 ,none,rkZRggqVX,10 ,25.0,16 ,17.0,11 ,13.0
Bouvier des Flandres,54,Herding,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",70 - 110,23.5 - 27.5,Cattle herding,10 - 15 ,none,Byd0xl5VX,70 ,110.0,23.5 ,27.5,10 ,15.0
Boxer,55,Working,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",50 - 70,21.5 - 25,"Bull-baiting, guardian",8 - 10 ,none,ry1kWe5VQ,50 ,70.0,21.5 ,25.0,8 ,10.0
Boykin Spaniel,56,Sporting,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",25 - 40,14 - 18,Turkey retrieving,10 - 14 ,none,ryHJZlcNX,25 ,40.0,14 ,18.0,10 ,14.0
Bracco Italiano,57,Sporting,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",55 - 88,21.5 - 26.5,Versatile gun dog,10 - 12 ,none,S13yZg5VQ,55 ,88.0,21.5 ,26.5,10 ,12.0
Briard,58,Herding,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",70 - 90,22 - 27,"Herding, guarding sheep",10 - 12 ,none,rkVlblcEQ,70 ,90.0,22 ,27.0,10 ,12.0
Brittany,59,Sporting,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",30 - 45,17.5 - 20.5,"Pointing, retrieving",12 - 14 ,none,HJWZZxc4X,30 ,45.0,17.5 ,20.5,12 ,14.0
Bull Terrier,61,Terrier,"Trainable, Protective, Sweet-Tempered, Keen, Active",50 - 70,21 - 22,"Bull baiting, Fighting",10 - 12 ,none,VSraIEQGd,50 ,70.0,21 ,22.0,10 ,12.0
Bull Terrier (Miniature),62,none,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",25 - 33,10 - 14,An elegant man's fashion statement,11 – 14 ,none,BkKZWlcVX,25 ,33.0,10 ,14.0,11 – 14 ,
Bullmastiff,64,Working,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",100 - 130,24 - 27,Estate guardian,8 - 12 ,none,r1ifZl5E7,100 ,130.0,24 ,27.0,8 ,12.0
Cairn Terrier,65,Terrier,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",13 - 14,9 - 10,"Bolting of otter, foxes, other vermin",14 - 15 ,none,Sk7Qbg9E7,13 ,14.0,9 ,10.0,14 ,15.0
Cane Corso,67,Working,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",88 - 120,23.5 - 27.5,"Companion, guard dog, and hunter",10 - 11 ,none,r15m-lc4m,88 ,120.0,23.5 ,27.5,10 ,11.0
Cardigan Welsh Corgi,68,Herding,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",25 - 38,10.5 - 12.5,Cattle droving,12 - 14 ,none,SyXN-e9NX,25 ,38.0,10.5 ,12.5,12 ,14.0
Catahoula Leopard Dog,69,Herding,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",50 - 95,20 - 26,Driving livestock,10 - 12 ,none,BJcNbec4X,50 ,95.0,20 ,26.0,10 ,12.0
Caucasian Shepherd (Ovcharka),70,Working,"Alert, Quick, Dominant, Powerful, Calm, Strong",80 - 100,24 - 33.5,"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",10 - 12 ,none,r1rrWe5Em,80 ,100.0,24 ,33.5,10 ,12.0
Cavalier King Charles Spaniel,71,Toy,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",13 - 18,12 - 13,"Flushing small birds, companion",10 - 14 ,none,HJRBbe94Q,13 ,18.0,12 ,13.0,10 ,14.0
Chesapeake Bay Retriever,76,Sporting,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",55 - 80,21 - 26,Water Retriever,10 - 13 ,none,9BXwUeCc2,55 ,80.0,21 ,26.0,10 ,13.0
Chinese Crested,78,Toy,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",10 - 13,11 - 13,"Ratting, lapdog, curio",10 - 14 ,none,B1pDZx9Nm,10 ,13.0,11 ,13.0,10 ,14.0
Chinese Shar-Pei,79,Non-Sporting,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",45 - 60,18 - 20,Fighting,10 ,none,B1ruWl94Q,45 ,60.0,18 ,20.0,10 ,
Chinook,80,Working,"Friendly, Alert, Dignified, Intelligent, Calm",50 - 90,22 - 26,Sled pulling,12 - 15 ,none,Sypubg54Q,50 ,90.0,22 ,26.0,12 ,15.0
Chow Chow,81,Non-Sporting,"Aloof, Loyal, Independent, Quiet",40 - 70,17 - 20,"Guardian, cart pulling, hunting",12 - 15 ,none,ry8KWgqEQ,40 ,70.0,17 ,20.0,12 ,15.0
Clumber Spaniel,84,Sporting,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",55 - 85,17 - 20,"Bird flushing, retrieving",10 - 12 ,none,rkeqWgq4Q,55 ,85.0,17 ,20.0,10 ,12.0
Cocker Spaniel,86,Sporting,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",20 - 30,14 - 15,"Bird flushing, retrieving",12 - 15 ,none,1lFmrzECl,20 ,30.0,14 ,15.0,12 ,15.0
Cocker Spaniel (American),87,Sporting,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",20 - 30,14 - 15,Hunting the American woodcock,12 - 15 ,none,HkRcZe547,20 ,30.0,14 ,15.0,12 ,15.0
Coton de Tulear,89,Non-Sporting,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",9 - 15,9 - 11,"Accompanying ladies on long sea voyages, ratters onboard ship.",13 - 16 ,none,SyviZlqNm,9 ,15.0,9 ,11.0,13 ,16.0
Dalmatian,92,Non-Sporting,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",50 - 55,19 - 23,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,10 - 13 ,none,SkJ3blcN7,50 ,55.0,19 ,23.0,10 ,13.0
Doberman Pinscher,94,Working,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",66 - 88,24 - 28,Guardian,10 ,none,HyL3bl94Q,66 ,88.0,24 ,28.0,10 ,
Dogo Argentino,95,Working,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",80 - 100,23.5 - 27,Big-game hunting,10 - 12 ,none,S1nhWx94Q,80 ,100.0,23.5 ,27.0,10 ,12.0
Dutch Shepherd,98,none,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",50 - 70,22 - 24.5,"Farms, watchdog, guard duty",15 ,none,BkE6Wg5E7,50 ,70.0,22 ,24.5,15 ,
English Setter,101,Sporting,"Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",45 - 80,24 - 25,"Bird setting, retrieving",12 ,none,By4A-eqVX,45 ,80.0,24 ,25.0,12 ,
English Shepherd,102,Working,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",44 - 66,18 - 23,"Herding & guarding livestock, farm watch dog",10 - 13 ,none,H1QyMe5EQ,44 ,66.0,18 ,23.0,10 ,13.0
English Springer Spaniel,103,Sporting,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",35 - 50,19 - 20,"Bird flushing, retrieving",12 - 14 ,none,Hk0Jfe5VQ,35 ,50.0,19 ,20.0,12 ,14.0
English Toy Spaniel,104,Toy,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",8 - 14,10,Companion of kings,10 - 12 ,none,SkIgzxqNQ,8 ,14.0,10,,10 ,12.0
English Toy Terrier,105,none,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",6 - 8,10 - 12,Rat-baiting,12 - 13 ,none,SJ6eMxqEQ,6 ,8.0,10 ,12.0,12 ,13.0
Eurasier,107,Non-Sporting,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",40 - 70,20.5 - 23.5,Companionship,12 - 14 ,none,S1VWGx9Nm,40 ,70.0,20.5 ,23.5,12 ,14.0
Field Spaniel,108,Sporting,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",35 - 50,17 - 18,"Bird flushing, retrieving",11 - 15 ,none,SkJfGecE7,35 ,50.0,17 ,18.0,11 ,15.0
Finnish Lapphund,110,Herding,"Friendly, Keen, Faithful, Calm, Courageous",33 - 53,16 - 21,Herding reindeer,12 - 15 ,none,S1KMGg5Vm,33 ,53.0,16 ,21.0,12 ,15.0
Finnish Spitz,111,Non-Sporting,"Playful, Loyal, Independent, Intelligent, Happy, Vocal",23 - 28,15.5 - 20,"Hunting birds, small mammals",12 - 15 ,none,3PjHlQbkV,23 ,28.0,15.5 ,20.0,12 ,15.0
French Bulldog,113,Non-Sporting,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright",28,11 - 12,Lapdog,9 - 11 ,none,HyWNfxc47,28,,11 ,12.0,9 ,11.0
German Pinscher,114,Working,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",25 - 45,17 - 20,"Watchdog, Hunting vermin on the farm.",12 - 14 ,none,B1u4zgqE7,25 ,45.0,17 ,20.0,12 ,14.0
German Shepherd Dog,115,Herding,"Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",50 - 90,22 - 26,"Herding, Guard dog",10 - 13 ,none,SJyBfg5NX,50 ,90.0,22 ,26.0,10 ,13.0
German Shorthaired Pointer,116,Sporting,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",45 - 70,21 - 25,General hunting,12 - 14 ,none,SJqBMg5Nm,45 ,70.0,21 ,25.0,12 ,14.0
Giant Schnauzer,119,Working,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",65 - 90,23.5 - 27.5,"Herding, guarding",10 - 12 ,none,H1NIzlcV7,65 ,90.0,23.5 ,27.5,10 ,12.0
Glen of Imaal Terrier,120,Terrier,"Spirited, Agile, Loyal, Gentle, Active, Courageous",32 - 40,12.5 - 14,"Rid the home and farm of vermin, and hunt badger and fox",12 - 15 ,none,H1oLMe94m,32 ,40.0,12.5 ,14.0,12 ,15.0
Golden Retriever,121,Sporting,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",55 - 75,21.5 - 24,Retrieving,10 - 12 ,none,HJ7Pzg5EQ,55 ,75.0,21.5 ,24.0,10 ,12.0
Gordon Setter,123,Sporting,"Fearless, Alert, Loyal, Confident, Gay, Eager",45 - 80,23 - 27,Find and point gamebirds,10 - 12 ,none,SJ5vzx5NX,45 ,80.0,23 ,27.0,10 ,12.0
Great Dane,124,Working,"Friendly, Devoted, Reserved, Gentle, Confident, Loving",110 - 190,28 - 32,"Hunting & holding boars, Guardian",7 - 10 ,none,B1Edfl9NX,110 ,190.0,28 ,32.0,7 ,10.0
Great Pyrenees,125,Working,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",85 - 115,25 - 32,Sheep guardian,10 - 12 ,none,B12uzg9V7,85 ,115.0,25 ,32.0,10 ,12.0
Greyhound,127,Hound,"Affectionate, Athletic, Gentle, Intelligent, Quiet, Even Tempered",50 - 70,27 - 30,Coursing hares,10 - 13 ,none,ryNYMx94X,50 ,70.0,27 ,30.0,10 ,13.0
Griffon Bruxellois,128,none,"Self-important, Inquisitive, Alert, Companionable, Sensitive, Watchful",12,9 - 11,Hunt and kill vermin in stables,10 – 15 ,none,ryoYGec4Q,12,,9 ,11.0,10 – 15 ,
Harrier,129,Hound,"Outgoing, Friendly, Cheerful, Sweet-Tempered, Tolerant, Active",40 - 60,18 - 22,Hunting hares by trailing them,12 - 15 ,none,B1IcfgqE7,40 ,60.0,18 ,22.0,12 ,15.0
Havanese,130,Toy,"Affectionate, Responsive, Playful, Companionable, Gentle, Intelligent",7 - 13,8.5 - 11.5,Companionship,14 - 15 ,none,rkXiGl9V7,7 ,13.0,8.5 ,11.5,14 ,15.0
Irish Setter,134,Sporting,"Affectionate, Energetic, Lively, Independent, Playful, Companionable",35 - 70,24 - 27,"Bird setting, retrieving",10 - 11 ,none,S1osGeqVm,35 ,70.0,24 ,27.0,10 ,11.0
Irish Terrier,135,Terrier,"Respectful, Lively, Intelligent, Dominant, Protective, Trainable",25 - 27,18,none,12 - 16 ,none,By-hGecVX,25 ,27.0,18,,12 ,16.0
Irish Wolfhound,137,Hound,"Sweet-Tempered, Loyal, Dignified, Patient, Thoughtful, Generous",105 - 180,30 - 35,"Coursing wolves, elk",6 - 8 ,none,Hyd2zgcEX,105 ,180.0,30 ,35.0,6 ,8.0
Italian Greyhound,138,Toy,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",7 - 15,13 - 15,Lapdog,12 - 15 ,none,SJAnzg9NX,7 ,15.0,13 ,15.0,12 ,15.0
Japanese Chin,140,Toy,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",4 - 9,8 - 11,Lapdog,12 - 14 ,none,r1H6feqEm,4 ,9.0,8 ,11.0,12 ,14.0
Japanese Spitz,141,none,"Affectionate, Obedient, Playful, Companionable, Intelligent, Proud",15 - 19,12 - 15,Companion,10 – 16 ,none,HksaMxqNX,15 ,19.0,12 ,15.0,10 – 16 ,
Keeshond,142,Non-Sporting,"Agile, Obedient, Playful, Quick, Sturdy, Bright",35 - 45,17 - 18,Barge watchdog,12 - 15 ,none,S1GAGg9Vm,35 ,45.0,17 ,18.0,12 ,15.0
Komondor,144,Working,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",80 - 100,25.5 - 27.5,Sheep guardian,10 - 12 ,none,Bko0fl547,80 ,100.0,25.5 ,27.5,10 ,12.0
Kooikerhondje,145,Sporting,"Benevolent, Agile, Alert, Intelligent, Active, Territorial",20 - 30,14 - 16,"Luring ducks into traps - ""tolling""",12 - 15 ,none,kOMy84GQE,20 ,30.0,14 ,16.0,12 ,15.0
Kuvasz,147,Working,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",70 - 115,26 - 30,"Guardian, hunting large game",8 - 10 ,none,BykZ7ecVX,70 ,115.0,26 ,30.0,8 ,10.0
Labrador Retriever,149,Sporting,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",55 - 80,21.5 - 24.5,Water retrieving,10 - 13 ,none,B1uW7l5VX,55 ,80.0,21.5 ,24.5,10 ,13.0
Lagotto Romagnolo,151,Sporting,"Keen, Loyal, Companionable, Loving, Active, Trainable",24 - 35,16 - 19,Water retrieval dog in the marshes of Romagna,14 - 16 ,none,ryzzmgqE7,24 ,35.0,16 ,19.0,14 ,16.0
Lancashire Heeler,153,none,"Clever, Friendly, Alert, Intelligent",6 - 13,10 - 12,"Cattle herding, Ratting, Driving cattle to market.",12 – 15 ,none,S1RGml5Em,6 ,13.0,10 ,12.0,12 – 15 ,
Leonberger,155,Working,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",120 - 170,25.5 - 31.5,"Guardian, appearance.",6 - 8 ,none,ByrmQlqVm,120 ,170.0,25.5 ,31.5,6 ,8.0
Lhasa Apso,156,Non-Sporting,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",12 - 18,10 - 11,"Guarding inside the home, companion",12 - 15 ,none,SJp7Qe5EX,12 ,18.0,10 ,11.0,12 ,15.0
Maltese,161,Toy,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",4 - 7,8 - 10,Lapdog,15 - 18 ,none,B1SV7gqN7,4 ,7.0,8 ,10.0,15 ,18.0
Miniature American Shepherd,165,Herding,"Energetic, Loyal, Intelligent, Trainable",20 - 40,13 - 18,none,12 - 15 ,none,BkHHQgcN7,20 ,40.0,13 ,18.0,12 ,15.0
Miniature Pinscher,167,Toy,"Clever, Outgoing, Friendly, Energetic, Responsive, Playful",8 - 11,10 - 12.5,Small vermin hunting,15 ,none,Hy3H7g94X,8 ,11.0,10 ,12.5,15 ,
Miniature Schnauzer,168,Terrier,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",11 - 20,12 - 14,Ratting,12 - 14 ,none,SJIUQl9NX,11 ,20.0,12 ,14.0,12 ,14.0
Newfoundland,171,Working,"Sweet-Tempered, Gentle, Trainable",100 - 150,26 - 28,"All purpose water dog, fishing aid",8 - 10 ,none,Sk4DXl54m,100 ,150.0,26 ,28.0,8 ,10.0
Norfolk Terrier,172,Terrier,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",11 - 12,9 - 10,"Ratting, fox bolting",12 - 15 ,none,B1ADQg94X,11 ,12.0,9 ,10.0,12 ,15.0
Norwich Terrier,176,Terrier,"Hardy, Affectionate, Energetic, Sensitive, Intelligent",11 - 12,10,"Ratting, fox bolting",12 - 15 ,none,BkgKXlqE7,11 ,12.0,10,,12 ,15.0
Nova Scotia Duck Tolling Retriever,177,Sporting,"Outgoing, Alert, Patient, Intelligent, Loving",35 - 50,17 - 21,none,12 - 14 ,none,SyYtQe5V7,35 ,50.0,17 ,21.0,12 ,14.0
Old English Sheepdog,178,Herding,"Sociable, Bubbly, Playful, Adaptable, Intelligent, Loving",60 - 100,21,"Driving sheep, cattle",10 - 12 ,none,HkZ57lq4m,60 ,100.0,21,,10 ,12.0
Olde English Bulldogge,179,none,"Friendly, Alert, Confident, Loving, Courageous, Strong",65 – 85,15 - 19,none,9 – 14 ,none,B1d5me547,65 – 85,,15 ,19.0,9 – 14 ,
Papillon,181,Toy,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",3 - 12,8 - 11,Lapdog,13 - 17 ,none,SkJj7e547,3 ,12.0,8 ,11.0,13 ,17.0
Pekingese,183,Toy,"Opinionated, Good-natured, Stubborn, Affectionate, Aggressive, Intelligent",14,6 - 9,Lapdog,14 - 18 ,none,ByIiml9Nm,14,,6 ,9.0,14 ,18.0
Pembroke Welsh Corgi,184,Herding,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",25 - 30,10 - 12,Driving stock to market in northern Wales,12 - 14 ,none,rJ6iQeqEm,25 ,30.0,10 ,12.0,12 ,14.0
