Dog Breed,Breed Group,Temperament
Giant Schnauzer,Working, Intelligent
Giant Schnauzer,Working, Dominant
Giant Schnauzer,Working, Powerful
Glen of Imaal Terrier,Terrier,Spirited
Glen of Imaal Terrier,Terrier, Agile
Glen of Imaal Terrier,Terrier, Loyal
Glen of Imaal Terrier,Terrier, Gentle
Glen of Imaal Terrier,Terrier, Active
Glen of Imaal Terrier,Terrier, Courageous
Golden Retriever,Sporting,Intelligent
Golden Retriever,Sporting, Kind
Golden Retriever,Sporting, Reliable
Golden Retriever,Sporting, Friendly
Golden Retriever,Sporting, Trustworthy
Golden Retriever,Sporting, Confident
Gordon Setter,Sporting,Fearless
Gordon Setter,Sporting, Alert
Gordon Setter,Sporting, Loyal
Gordon Setter,Sporting, Confident
Gordon Setter,Sporting, Gay
Gordon Setter,Sporting, Eager
Great Dane,Working,Friendly
Great Dane,Working, Devoted
Great Dane,Working, Reserved
Great Dane,Working, Gentle
Great Dane,Working, Confident
Great Dane,Working, Loving
Great Pyrenees,Working,Strong Willed
Great Pyrenees,Working, Fearless
Great Pyrenees,Working, Affectionate
Great Pyrenees,Working, Patient
Great Pyrenees,Working, Gentle
Great Pyrenees,Working, Confident
Greyhound,Hound,Affectionate
Greyhound,Hound, Athletic
Greyhound,Hound, Gentle
Greyhound,Hound, Intelligent
Greyhound,Hound, Quiet
Greyhound,Hound, Even Tempered
Griffon Bruxellois,none,Self-important
Griffon Bruxellois,none, Inquisitive
Griffon Bruxellois,none, Alert
Griffon Bruxellois,none, Companionable
Griffon Bruxellois,none, Sensitive
Griffon Bruxellois,none, Watchful
Harrier,Hound,Outgoing
Harrier,Hound, Friendly
Harrier,Hound, Cheerful
Harrier,Hound, Sweet-Tempered
Harrier,Hound, Tolerant
Harrier,Hound, Active
Havanese,Toy,Affectionate
Havanese,Toy, Responsive
Havanese,Toy, Playful
Havanese,Toy, Companionable
Havanese,Toy, Gentle
Havanese,Toy, Intelligent
Irish Setter,Sporting,Affectionate
Irish Setter,Sporting, Energetic
Irish Setter,Sporting, Lively
Irish Setter,Sporting, Independent
Irish Setter,Sporting, Playful
Irish Setter,Sporting, Companionable
Irish Terrier,Terrier,Respectful
Irish Terrier,Terrier, Lively
Irish Terrier,Terrier, Intelligent
Irish Terrier,Terrier, Dominant
Irish Terrier,Terrier, Protective
Irish Terrier,Terrier, Trainable
Irish Wolfhound,Hound,Sweet-Tempered
Irish Wolfhound,Hound, Loyal
Irish Wolfhound,Hound, Dignified
Irish Wolfhound,Hound, Patient
Irish Wolfhound,Hound, Thoughtful
Irish Wolfhound,Hound, Generous
Italian Greyhound,Toy,Mischievous
Italian Greyhound,Toy, Affectionate
Italian Greyhound,Toy, Agile
Italian Greyhound,Toy, Athletic
Italian Greyhound,Toy, Companionable
Italian Greyhound,Toy, Intelligent
Japanese Chin,Toy,Alert
Japanese Chin,Toy, Loyal
Japanese Chin,Toy, Independent
Japanese Chin,Toy, Intelligent
Japanese Chin,Toy, Loving
Japanese Chin,Toy, Cat-like
Japanese Spitz,none,Affectionate
Japanese Spitz,none, Obedient
Japanese Spitz,none, Playful
Japanese Spitz,none, Companionable
Japanese Spitz,none, Intelligent
Japanese Spitz,none, Proud
Keeshond,Non-Sporting,Agile
Keeshond,Non-Sporting, Obedient
Keeshond,Non-Sporting, Playful
Keeshond,Non-Sporting, Quick
Keeshond,Non-Sporting, Sturdy
Keeshond,Non-Sporting, Bright
Komondor,Working,Steady
Komondor,Working, Fearless
Komondor,Working, Affectionate
Komondor,Working, Independent
Komondor,Working, Gentle
Komondor,Working, Calm
Kooikerhondje,Sporting,Benevolent
Kooikerhondje,Sporting, Agile
Kooikerhondje,Sporting, Alert
Kooikerhondje,Sporting, Intelligent
Kooikerhondje,Sporting, Active
Kooikerhondje,Sporting, Territorial
Kuvasz,Working,Clownish
Kuvasz,Working, Loyal
Kuvasz,Working, Patient
Kuvasz,Working, Independent
Kuvasz,Working, Intelligent
Kuvasz,Working, Protective
Labrador Retriever,Sporting,Kind
Labrador Retriever,Sporting, Outgoing
Labrador Retriever,Sporting, Agile
Labrador Retriever,Sporting, Gentle
Labrador Retriever,Sporting, Intelligent
Labrador Retriever,Sporting, Trusting
Labrador Retriever,Sporting, Even Tempered
Lagotto Romagnolo,Sporting,Keen
Lagotto Romagnolo,Sporting, Loyal
Lagotto Romagnolo,Sporting, Companionable
Lagotto Romagnolo,Sporting, Loving
Lagotto Romagnolo,Sporting, Active
Lagotto Romagnolo,Sporting, Trainable
Lancashire Heeler,none,Clever
Lancashire Heeler,none, Friendly
Lancashire Heeler,none, Alert
Lancashire Heeler,none, Intelligent
Leonberger,Working,Obedient
Leonberger,Working, Fearless
Leonberger,Working, Loyal
Leonberger,Working, Companionable
Leonberger,Working, Adaptable
Leonberger,Working, Loving
Lhasa Apso,Non-Sporting,Steady
Lhasa Apso,Non-Sporting, Fearless
Lhasa Apso,Non-Sporting, Friendly
Lhasa Apso,Non-Sporting, Devoted
Lhasa Apso,Non-Sporting, Assertive
Lhasa Apso,Non-Sporting, Spirited
Lhasa Apso,Non-Sporting, Energetic
Lhasa Apso,Non-Sporting, Lively
Lhasa Apso,Non-Sporting, Alert
Lhasa Apso,Non-Sporting, Obedient
Lhasa Apso,Non-Sporting, Playful
Lhasa Apso,Non-Sporting, Intelligent
Maltese,Toy,Playful
Maltese,Toy, Docile
Maltese,Toy, Fearless
Maltese,Toy, Affectionate
Maltese,Toy, Sweet-Tempered
Maltese,Toy, Lively
Maltese,Toy, Responsive
Maltese,Toy, Easygoing
Maltese,Toy, Gentle
Maltese,Toy, Intelligent
Maltese,Toy, Active
Miniature American Shepherd,Herding,Energetic
Miniature American Shepherd,Herding, Loyal
Miniature American Shepherd,Herding, Intelligent
Miniature American Shepherd,Herding, Trainable
Miniature Pinscher,Toy,Clever
Miniature Pinscher,Toy, Outgoing
Miniature Pinscher,Toy, Friendly
Miniature Pinscher,Toy, Energetic
Miniature Pinscher,Toy, Responsive
Miniature Pinscher,Toy, Playful
Miniature Schnauzer,Terrier,Fearless
Miniature Schnauzer,Terrier, Friendly
Miniature Schnauzer,Terrier, Spirited
Miniature Schnauzer,Terrier, Alert
Miniature Schnauzer,Terrier, Obedient
Miniature Schnauzer,Terrier, Intelligent
Newfoundland,Working,Sweet-Tempered
Newfoundland,Working, Gentle
Newfoundland,Working, Trainable
Norfolk Terrier,Terrier,Self-confidence
Norfolk Terrier,Terrier, Fearless
Norfolk Terrier,Terrier, Spirited
Norfolk Terrier,Terrier, Companionable
Norfolk Terrier,Terrier, Happy
Norfolk Terrier,Terrier, Lovable
Norwich Terrier,Terrier,Hardy
Norwich Terrier,Terrier, Affectionate
Norwich Terrier,Terrier, Energetic
Norwich Terrier,Terrier, Sensitive
Norwich Terrier,Terrier, Intelligent
Nova Scotia Duck Tolling Retriever,Sporting,Outgoing
Nova Scotia Duck Tolling Retriever,Sporting, Alert
Nova Scotia Duck Tolling Retriever,Sporting, Patient
Nova Scotia Duck Tolling Retriever,Sporting, Intelligent
Nova Scotia Duck Tolling Retriever,Sporting, Loving
Old English Sheepdog,Herding,Sociable
Old English Sheepdog,Herding, Bubbly
Old English Sheepdog,Herding, Playful
Old English Sheepdog,Herding, Adaptable
Old English Sheepdog,Herding, Intelligent
Old English Sheepdog,Herding, Loving
Olde English Bulldogge,none,Friendly
Olde English Bulldogge,none, Alert
Olde English Bulldogge,none, Confident
Olde English Bulldogge,none, Loving
Olde English Bulldogge,none, Courageous
Olde English Bulldogge,none, Strong
Papillon,Toy,Hardy
Papillon,Toy, Friendly
Papillon,Toy, Energetic
Papillon,Toy, Alert
Papillon,Toy, Intelligent
Papillon,Toy, Happy
Pekingese,Toy,Opinionated
Pekingese,Toy, Good-natured
Pekingese,Toy, Stubborn
Pekingese,Toy, Affectionate
Pekingese,Toy, Aggressive
Pekingese,Toy, Intelligent
Pembroke Welsh Corgi,Herding,Tenacious
Pembroke Welsh Corgi,Herding, Outgoing
Pembroke Welsh Corgi,Herding, Friendly
Pembroke Welsh Corgi,Herding, Bold
Pembroke Welsh Corgi,Herding, Playful
Pembroke Welsh Corgi,Herding, Protective
Perro de Presa Canario,Working,Strong Willed
Perro de Presa Canario,Working, Suspicious
Perro de Presa Canario,Working, Gentle
Perro de Presa Canario,Working, Dominant
Perro de Presa Canario,Working, Calm
Pharaoh Hound,Hound,Affectionate
Pharaoh Hound,Hound, Sociable
Pharaoh Hound,Hound, Playful
Pharaoh Hound,Hound, Intelligent
Pharaoh Hound,Hound, Active
Pharaoh Hound,Hound, Trainable
Plott,Hound,Bold
Plott,Hound, Alert
Plott,Hound, Loyal
Plott,Hound, Intelligent
Pomeranian,Toy,Extroverted
Pomeranian,Toy, Friendly
Pomeranian,Toy, Sociable
Pomeranian,Toy, Playful
Pomeranian,Toy, Intelligent
Pomeranian,Toy, Active
Poodle (Miniature),none,none
Poodle (Toy),none,none
Pug,Toy,Docile
Pug,Toy, Clever
Pug,Toy, Charming
Pug,Toy, Stubborn
Pug,Toy, Sociable
Pug,Toy, Playful
Pug,Toy, Quiet
Pug,Toy, Attentive
Puli,Herding,Energetic
Puli,Herding, Agile
Puli,Herding, Loyal
Puli,Herding, Obedient
